Year,Month,Weekday,State,NumOfAccidents
2016,1,Thursday,PA,7
2016,2,Friday,IN,9
2016,2,Friday,KY,10
2016,2,Friday,MI,1
2016,2,Friday,OH,88
2016,2,Friday,PA,5
2016,2,Friday,WV,4
2016,2,Monday,IN,15
2016,2,Monday,KY,11
2016,2,Monday,MI,3
2016,2,Monday,OH,173
2016,2,Monday,PA,8
2016,2,Monday,WV,3
2016,2,Saturday,IN,3
2016,2,Saturday,KY,1
2016,2,Saturday,OH,14
2016,2,Saturday,PA,6
2016,2,Sunday,IN,9
2016,2,Sunday,KY,2
2016,2,Sunday,OH,11
2016,2,Sunday,PA,1
2016,2,Sunday,WV,4
2016,2,Thursday,IN,18
2016,2,Thursday,KY,11
2016,2,Thursday,MI,1
2016,2,Thursday,OH,170
2016,2,Thursday,PA,9
2016,2,Thursday,WV,8
2016,2,Tuesday,IN,20
2016,2,Tuesday,KY,3
2016,2,Tuesday,MI,4
2016,2,Tuesday,OH,160
2016,2,Tuesday,PA,5
2016,2,Tuesday,WV,9
2016,2,Wednesday,IN,16
2016,2,Wednesday,KY,3
2016,2,Wednesday,MI,1
2016,2,Wednesday,OH,154
2016,2,Wednesday,PA,8
2016,2,Wednesday,WV,4
2016,3,Friday,CA,442
2016,3,Friday,CT,6
2016,3,Friday,IN,17
2016,3,Friday,KY,10
2016,3,Friday,MA,4
2016,3,Friday,MI,1
2016,3,Friday,NE,6
2016,3,Friday,NJ,10
2016,3,Friday,NY,13
2016,3,Friday,OH,148
2016,3,Friday,PA,17
2016,3,Friday,WV,2
2016,3,Monday,CA,474
2016,3,Monday,CT,18
2016,3,Monday,DE,5
2016,3,Monday,IA,1
2016,3,Monday,IN,5
2016,3,Monday,KY,21
2016,3,Monday,MA,7
2016,3,Monday,MI,1
2016,3,Monday,MO,1
2016,3,Monday,NE,21
2016,3,Monday,NJ,22
2016,3,Monday,NY,55
2016,3,Monday,OH,126
2016,3,Monday,PA,22
2016,3,Monday,RI,5
2016,3,Monday,WV,3
2016,3,Saturday,CA,213
2016,3,Saturday,CT,4
2016,3,Saturday,IA,3
2016,3,Saturday,IN,2
2016,3,Saturday,KY,3
2016,3,Saturday,MD,3
2016,3,Saturday,NE,6
2016,3,Saturday,NJ,6
2016,3,Saturday,NY,13
2016,3,Saturday,OH,23
2016,3,Saturday,PA,1
2016,3,Saturday,WV,2
2016,3,Sunday,CA,238
2016,3,Sunday,CT,2
2016,3,Sunday,DE,1
2016,3,Sunday,IA,1
2016,3,Sunday,IN,2
2016,3,Sunday,KY,7
2016,3,Sunday,MD,1
2016,3,Sunday,MO,1
2016,3,Sunday,NE,2
2016,3,Sunday,NJ,3
2016,3,Sunday,NY,3
2016,3,Sunday,OH,12
2016,3,Sunday,PA,4
2016,3,Sunday,WV,6
2016,3,Thursday,CA,1117
2016,3,Thursday,CT,17
2016,3,Thursday,DE,1
2016,3,Thursday,IA,27
2016,3,Thursday,IN,17
2016,3,Thursday,KY,31
2016,3,Thursday,MA,10
2016,3,Thursday,MD,3
2016,3,Thursday,MI,2
2016,3,Thursday,MN,1
2016,3,Thursday,MO,2
2016,3,Thursday,NE,52
2016,3,Thursday,NH,1
2016,3,Thursday,NJ,48
2016,3,Thursday,NY,71
2016,3,Thursday,OH,255
2016,3,Thursday,PA,22
2016,3,Thursday,RI,7
2016,3,Thursday,WV,5
2016,3,Tuesday,CA,575
2016,3,Tuesday,CT,11
2016,3,Tuesday,IA,3
2016,3,Tuesday,IN,13
2016,3,Tuesday,KY,23
2016,3,Tuesday,MA,8
2016,3,Tuesday,MI,6
2016,3,Tuesday,MN,1
2016,3,Tuesday,MO,1
2016,3,Tuesday,NE,27
2016,3,Tuesday,NJ,21
2016,3,Tuesday,NY,43
2016,3,Tuesday,OH,200
2016,3,Tuesday,PA,15
2016,3,Tuesday,WV,10
2016,3,Wednesday,CA,1220
2016,3,Wednesday,CT,20
2016,3,Wednesday,DE,1
2016,3,Wednesday,IA,6
2016,3,Wednesday,IN,6
2016,3,Wednesday,KY,26
2016,3,Wednesday,MA,6
2016,3,Wednesday,MD,1
2016,3,Wednesday,ME,1
2016,3,Wednesday,MI,2
2016,3,Wednesday,MN,1
2016,3,Wednesday,MO,2
2016,3,Wednesday,NE,38
2016,3,Wednesday,NJ,56
2016,3,Wednesday,NY,73
2016,3,Wednesday,OH,156
2016,3,Wednesday,PA,22
2016,3,Wednesday,RI,15
2016,3,Wednesday,WV,6
2016,4,Friday,CA,2603
2016,4,Friday,CT,43
2016,4,Friday,IA,12
2016,4,Friday,IN,19
2016,4,Friday,KY,17
2016,4,Friday,MA,5
2016,4,Friday,MD,1
2016,4,Friday,MI,1
2016,4,Friday,MO,2
2016,4,Friday,NE,85
2016,4,Friday,NH,1
2016,4,Friday,NJ,98
2016,4,Friday,NV,1
2016,4,Friday,NY,119
2016,4,Friday,OH,204
2016,4,Friday,PA,38
2016,4,Friday,RI,18
2016,4,Friday,WV,7
2016,4,Monday,CA,2472
2016,4,Monday,CT,60
2016,4,Monday,DE,7
2016,4,Monday,IA,12
2016,4,Monday,IN,6
2016,4,Monday,KY,25
2016,4,Monday,MA,17
2016,4,Monday,MD,3
2016,4,Monday,MO,3
2016,4,Monday,NE,90
2016,4,Monday,NH,5
2016,4,Monday,NJ,98
2016,4,Monday,NY,158
2016,4,Monday,OH,167
2016,4,Monday,PA,53
2016,4,Monday,RI,13
2016,4,Monday,WV,7
2016,4,Saturday,CA,660
2016,4,Saturday,CT,12
2016,4,Saturday,IA,5
2016,4,Saturday,IN,7
2016,4,Saturday,KY,5
2016,4,Saturday,MA,2
2016,4,Saturday,MD,3
2016,4,Saturday,NE,2
2016,4,Saturday,NH,1
2016,4,Saturday,NJ,20
2016,4,Saturday,NY,20
2016,4,Saturday,OH,54
2016,4,Saturday,PA,5
2016,4,Saturday,RI,1
2016,4,Sunday,CA,821
2016,4,Sunday,CT,16
2016,4,Sunday,DE,2
2016,4,Sunday,IA,11
2016,4,Sunday,IN,1
2016,4,Sunday,KY,2
2016,4,Sunday,MA,5
2016,4,Sunday,MI,1
2016,4,Sunday,MN,2
2016,4,Sunday,NE,10
2016,4,Sunday,NH,2
2016,4,Sunday,NJ,12
2016,4,Sunday,NY,20
2016,4,Sunday,OH,32
2016,4,Sunday,PA,13
2016,4,Sunday,WV,5
2016,4,Thursday,CA,2646
2016,4,Thursday,CT,27
2016,4,Thursday,DE,5
2016,4,Thursday,IA,21
2016,4,Thursday,IL,1
2016,4,Thursday,IN,11
2016,4,Thursday,KY,19
2016,4,Thursday,MA,18
2016,4,Thursday,MD,4
2016,4,Thursday,MN,1
2016,4,Thursday,MO,7
2016,4,Thursday,NE,122
2016,4,Thursday,NJ,79
2016,4,Thursday,NY,129
2016,4,Thursday,OH,202
2016,4,Thursday,PA,63
2016,4,Thursday,RI,23
2016,4,Thursday,WI,2
2016,4,Thursday,WV,9
2016,4,Tuesday,CA,2537
2016,4,Tuesday,CT,55
2016,4,Tuesday,DE,1
2016,4,Tuesday,IA,14
2016,4,Tuesday,IN,23
2016,4,Tuesday,KY,16
2016,4,Tuesday,MA,12
2016,4,Tuesday,MD,6
2016,4,Tuesday,MI,1
2016,4,Tuesday,MN,1
2016,4,Tuesday,NE,107
2016,4,Tuesday,NH,5
2016,4,Tuesday,NJ,124
2016,4,Tuesday,NY,136
2016,4,Tuesday,OH,164
2016,4,Tuesday,PA,59
2016,4,Tuesday,RI,22
2016,4,Tuesday,WV,1
2016,4,Wednesday,CA,2482
2016,4,Wednesday,CT,38
2016,4,Wednesday,DE,3
2016,4,Wednesday,IA,17
2016,4,Wednesday,IN,7
2016,4,Wednesday,KY,8
2016,4,Wednesday,MA,7
2016,4,Wednesday,MD,1
2016,4,Wednesday,ME,2
2016,4,Wednesday,MO,5
2016,4,Wednesday,NE,132
2016,4,Wednesday,NH,7
2016,4,Wednesday,NJ,90
2016,4,Wednesday,NV,2
2016,4,Wednesday,NY,155
2016,4,Wednesday,OH,171
2016,4,Wednesday,PA,51
2016,4,Wednesday,RI,11
2016,4,Wednesday,SD,1
2016,4,Wednesday,WV,3
2016,5,Friday,CA,1722
2016,5,Friday,CT,28
2016,5,Friday,DE,5
2016,5,Friday,IA,7
