Year,State,NumOfAccidents
2016,AL,135
2016,AR,26
2016,AZ,2770
2016,CA,140456
2016,CO,1324
2016,CT,4201
2016,DC,454
2016,DE,279
2016,FL,37033
2016,GA,13242
2016,IA,2005
2016,ID,419
2016,IL,17077
2016,IN,1623
2016,KS,762
2016,KY,1068
2016,LA,849
2016,MA,5197
2016,MD,7536
2016,ME,135
2016,MI,16630
2016,MN,2567
2016,MO,3758
2016,MS,402
2016,MT,62
2016,NC,6147
2016,ND,3
2016,NE,5810
2016,NH,315
2016,NJ,7914
2016,NM,153
2016,NV,1357
2016,NY,20026
2016,OH,11330
2016,OK,570
2016,OR,1026
2016,PA,21208
2016,RI,1403
2016,SC,3015
2016,SD,8
2016,TN,1688
2016,TX,49766
2016,UT,968
2016,VA,6490
2016,VT,17
2016,WA,9317
2016,WI,1562
2016,WV,429
2016,WY,69
2017,AL,2904
2017,AR,134
2017,AZ,12327
2017,CA,152668
2017,CO,7091
2017,CT,6735
2017,DC,763
2017,DE,891
2017,FL,60665
2017,GA,22059
2017,IA,3016
2017,ID,368
2017,IL,25289
2017,IN,6947
2017,KS,1734
2017,KY,3275
2017,LA,12232
2017,MA,9045
2017,MD,12337
2017,ME,591
2017,MI,27424
2017,MN,10428
2017,MO,7373
2017,MS,1037
2017,MT,133
2017,NC,34091
2017,ND,4
2017,NE,6203
2017,NH,2031
2017,NJ,14071
2017,NM,1139
2017,NV,2503
2017,NY,36879
2017,OH,13653
2017,OK,9760
2017,OR,6167
2017,PA,26871
2017,RI,2858
2017,SC,28331
2017,SD,12
2017,TN,11007
2017,TX,85538
2017,UT,4651
2017,VA,20737
2017,VT,155
2017,WA,18448
2017,WI,4103
2017,WV,700
2017,WY,112
2018,AL,14095
2018,AR,597
2018,AZ,22702
2018,CA,156785
2018,CO,14121
2018,CT,6413
2018,DC,951
2018,DE,1643
2018,FL,65744
2018,GA,24613
2018,IA,2482
2018,ID,419
2018,IL,24064
2018,IN,13702
2018,KS,2396
2018,KY,7948
2018,LA,20420
2018,MA,9426
2018,MD,11005
2018,ME,703
2018,MI,24287
2018,MN,20213
2018,MO,8755
2018,MS,2536
2018,MT,152
2018,NC,56236
2018,ND,19
2018,NE,5850
2018,NH,2501
2018,NJ,14952
2018,NM,2112
2018,NV,2661
2018,NY,37953
2018,OH,17648
2018,OK,20485
2018,OR,22497
2018,PA,22215
2018,RI,3248
2018,SC,56361
2018,SD,13
2018,TN,24462
2018,TX,84050
2018,UT,11153
2018,VA,27029
2018,VT,188
2018,WA,18917
2018,WI,5031
2018,WV,672
2018,WY,199
All,AL,17134
All,AR,757
All,AZ,37799
All,CA,449909
All,CO,22536
All,CT,17349
All,DC,2168
All,DE,2813
All,FL,163442
All,GA,59914
All,IA,7503
All,ID,1206
All,IL,66430
All,IN,22272
All,KS,4892
All,KY,12291
All,LA,33501
All,MA,23668
All,MD,30878
All,ME,1429
All,MI,68341
All,MN,33208
All,MO,19886
All,MS,3975
All,MT,347
All,NC,96474
All,ND,26
All,NE,17863
All,NH,4847
All,NJ,36937
All,NM,3404
All,NV,6521
All,NY,94858
All,OH,42631
All,OK,30815
All,OR,29690
All,PA,70294
All,RI,7509
All,SC,87707
All,SD,33
All,TN,37157
All,TX,219354
All,UT,16772
All,VA,54256
All,VT,360
All,WA,46682
All,WI,10696
All,WV,1801
All,WY,380
