State,Year,Month,Accidents
,2016,January,7
,2016,February,985
,2016,March,6329
,2016,May,17610
,2016,April,18088
,2016,June,30527
,2017,May,41107
,2017,July,43226
,2016,July,45759
,2017,June,46221
,2017,April,48088
,2017,February,51641
,2016,September,54664
,2016,October,55628
,2017,January,55681
,2016,August,56425
,2017,March,57285
,2016,December,59568
,2016,November,65011
,2018,July,65747
,2018,June,67787
,2017,November,70071
,2018,December,70208
,2018,February,71463
,2017,December,71572
,2018,April,72589
,2018,September,73283
,2018,March,74417
,2017,October,74904
,2018,January,74999
,2018,August,76381
,2018,May,76477
,2017,September,76822
,2017,August,80872
,2018,November,82083
,2018,October,87190
,All,February,124089
,All,January,130687
,All,May,135194
,All,March,138031
,All,April,138765
,All,June,144535
,All,July,154732
,All,December,201348
,All,September,204769
,All,August,213678
,All,November,217165
,All,October,217722
